Method,AUROC,F1,Spearman
Majority Baseline — Test,0.5,0.0,
Method A — Test,0.6632425336396456,0.3333333333333333,0.262521222299177
Method B — Test,0.6040576423904288,0.23100303951367782,0.21212119863231227
Method C — Test,0.7658800011934243,0.564935064935065,0.42748960718159745
